"Module","Gene"
"turquoise","LOC105381073"
"turquoise","LOC105382062"
"turquoise","LOC105391436"
"turquoise","LOC105394243"
"turquoise","LOC105394244"
"turquoise","LOC105394365"
"turquoise","LOC105380980"
"turquoise","LOC105391626"
"turquoise","LOC125490887"
"turquoise","LOC105398751"
"turquoise","LOC119694259"
"turquoise","LOC105383607"
"turquoise","LOC125490969"
"turquoise","LOC105388937"
"turquoise","LOC105380182"
"turquoise","LOC105385314"
"turquoise","LOC105384771"
"turquoise","LOC119693483"
"turquoise","LOC105396120"
"turquoise","LOC119693954"
"turquoise","LOC125490976"
"turquoise","LOC105393481"
"turquoise","LOC105381705"
"turquoise","LOC105393930"
"turquoise","LOC105384738"
"turquoise","LOC105395914"
"turquoise","LOC125491024"
"turquoise","LOC125491023"
"turquoise","LOC105387642"
"turquoise","LOC105398710"
"turquoise","LOC125488474"
"turquoise","LOC105398128"
"turquoise","LOC105398123"
"turquoise","LOC105398115"
"turquoise","LOC105391730"
"turquoise","LOC105387211"
"turquoise","LOC105395517"
"turquoise","LOC105397331"
"turquoise","LOC105383961"
"turquoise","LOC105392432"
"turquoise","LOC105391105"
"turquoise","LOC105391102"
"turquoise","LOC119694719"
"turquoise","LOC105385493"
"turquoise","LOC105392380"
"turquoise","LOC105398301"
"turquoise","LOC105383169"
"turquoise","LOC105398311"
"turquoise","LOC105390368"
"turquoise","LOC119694709"
"turquoise","LOC125491086"
"turquoise","LOC105393438"
"turquoise","LOC105388078"
"turquoise","LOC105397116"
"turquoise","LOC105383405"
"turquoise","LOC125491110"
"turquoise","LOC125491117"
"turquoise","LOC125491165"
"turquoise","LOC105384588"
"turquoise","LOC105384565"
"turquoise","LOC105382679"
"turquoise","LOC125491227"
"turquoise","LOC119694777"
"turquoise","LOC105382673"
"turquoise","LOC125491219"
"turquoise","LOC125491269"
"turquoise","LOC119694671"
"turquoise","LOC105392046"
"turquoise","LOC105398572"
"turquoise","LOC105381155"
"turquoise","LOC105395856"
"turquoise","LOC105385333"
"turquoise","LOC125491204"
